_low_confidence,_run,candidate_item_title,confidence,new_item_title,primary_relation,published_at,reason,secondary_roles,should_fold,source
,final_300,"I tried running the same ""Generate an SVG of a pelican riding a bicycle"" prompt against 21 different...",0.95,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about character AI response time; candidate is about SVG generation with IBM Granite models. No shared entities or topic.,[],False,socialmedia-runway-runwayml
,final_300,Read more: https://t.co/3YEhHmqg3g,0.95,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about character AI response time; candidate is a tweet link about Meta buying something. No shared entities or topic.,[],False,socialmedia-runway-runwayml
,final_300,"Cache is scoped per API key, so different keys under the same account stay isolated. Cache hits don'...",0.95,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about character AI response time; candidate is about API cache scoping. No shared entities or topic.,[],False,socialmedia-runway-runwayml
,final_300,"Work less, make more",0.95,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about character AI response time; candidate is a generic motivational post. No shared entities or topic.,[],False,socialmedia-runway-runwayml
,final_300,"Build it. Break it. Fix it. From campaign trackers to financial planners, @CalStateEastBay students...",0.95,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about character AI response time; candidate is about Codex challenge with students. No shared entities or topic.,[],False,socialmedia-runway-runwayml
,final_300,Gemini 3.1 Pro is out and it’s a step function improvement across many domains. It’s rolling out to ...,0.9,Tip 3: There is a big jump on coding tasks like - SWE-Bench Pro 64.3% - SWE-Bench Verified 87.6% -...,different,2026-04-16T15:31:39+00:00,New item discusses Opus 4.7 coding benchmarks; candidate is about Gemini 3.1 Pro release. No overlap in content.,[],False,socialmedia-poe-poe-platform
,final_300,We're incrementally rolling out Nano Banana Pro to Antigravity. It's not only a step change in image...,0.9,Tip 3: There is a big jump on coding tasks like - SWE-Bench Pro 64.3% - SWE-Bench Verified 87.6% -...,different,2026-04-16T15:31:39+00:00,New item is about Opus 4.7 coding benchmarks; candidate is about Nano Banana Pro image generation. Unrelated topics.,[],False,socialmedia-poe-poe-platform
,final_300,"Kimi K2.6 is now available in Windsurf! Available for free for the next 2 weeks for Pro, Teams, and...",0.9,Tip 3: There is a big jump on coding tasks like - SWE-Bench Pro 64.3% - SWE-Bench Verified 87.6% -...,different,2026-04-16T15:31:39+00:00,New item discusses Opus 4.7 coding improvements; candidate is about Kimi K2.6 availability in Windsurf. No shared event or topic.,[],False,socialmedia-poe-poe-platform
,final_300,DeepSeek v4 Pro还是可以的。 几轮对话，实现一个工具，用xbox手柄控制电脑应用和浏览器。 当遥控器，躺床上刷小说和看视频。,0.9,Tip 3: There is a big jump on coding tasks like - SWE-Bench Pro 64.3% - SWE-Bench Verified 87.6% -...,different,2026-04-16T15:31:39+00:00,New item is about Opus 4.7 benchmarks; candidate is about DeepSeek v4 Pro usage example. Different products and contexts.,[],False,socialmedia-poe-poe-platform
,final_300,"v0 Auto picks the right model for your prompt, whether that's Mini for quick edits, Pro for most tas...",0.9,Tip 3: There is a big jump on coding tasks like - SWE-Bench Pro 64.3% - SWE-Bench Verified 87.6% -...,different,2026-04-16T15:31:39+00:00,New item focuses on Opus 4.7 coding performance; candidate is about v0 Auto model selection. No overlap.,[],False,socialmedia-poe-poe-platform
True,final_300,"Really fun to try this app while in Sydney this week, which uses our tools to help fans deep dive in...",0.5,"Research Focus: AI agents leaking enterprise data, a smarter OS for cloud deployment, and new resear...",different,2026-05-04T16:57:40+00:00,"The new item is a summary of multiple AI topics (data leaks, cloud OS, AI use at work) while the candidate is a tweet about a fun cricket app in Sydney. No meaningful overlap.",[],False,socialmedia-microsoft-research-msftresearch
True,final_300,Introducing Windsurf 2.0. Manage all your agents from one place and delegate work to the cloud with...,0.5,"Research Focus: AI agents leaking enterprise data, a smarter OS for cloud deployment, and new resear...",different,2026-05-04T16:57:40+00:00,"The new item discusses AI agent data leaks and research, while the candidate announces Windsurf 2.0 for agent management. Different angles, not same event.",[],False,socialmedia-microsoft-research-msftresearch
True,final_300,"Bring your workflow to Codex in just a few clicks. Import settings, plugins, agents, project config...",0.5,"Research Focus: AI agents leaking enterprise data, a smarter OS for cloud deployment, and new resear...",different,2026-05-04T16:57:40+00:00,"The new item is a research focus article, while the candidate is about importing workflow to Codex. No direct connection.",[],False,socialmedia-microsoft-research-msftresearch
True,final_300,https://t.co/iMifqBlNHZ,0.5,"Research Focus: AI agents leaking enterprise data, a smarter OS for cloud deployment, and new resear...",different,2026-05-04T16:57:40+00:00,"The candidate is a tweet about a Stripe link recreation, unrelated to the new item's topics.",[],False,socialmedia-microsoft-research-msftresearch
True,final_300,"When debt levels reach extreme sizes relative to income, governments are left with a limited set of ...",0.5,"Research Focus: AI agents leaking enterprise data, a smarter OS for cloud deployment, and new resear...",different,2026-05-04T16:57:40+00:00,"The candidate is about government debt and monetary policy, totally unrelated to AI research topics in the new item.",[],False,socialmedia-microsoft-research-msftresearch
True,final_300,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",0.25,5.5 is an autistic genius with very strange taste in naming shocking that we would make such a thin...,different,2026-05-09T19:16:31+00:00,"Topics are unrelated: new item is about a model named 5.5, candidate is about codex tasks.",[],False,socialmedia-sam-altman-sama
True,final_300,what would you most like to see improve in our next model?,0.3,5.5 is an autistic genius with very strange taste in naming shocking that we would make such a thin...,different,2026-05-09T19:16:31+00:00,"Candidate asks what to improve in next model, new item is a comment on model 5.5's name.",[],False,socialmedia-sam-altman-sama
True,final_300,"It's an unimpressive-sounding word, but one of the most powerful motivations is the motivation of th...",0.2,5.5 is an autistic genius with very strange taste in naming shocking that we would make such a thin...,different,2026-05-09T19:16:31+00:00,"Candidate about hobbyist motivation, new item about model naming.",[],False,socialmedia-sam-altman-sama
True,final_300,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",0.2,5.5 is an autistic genius with very strange taste in naming shocking that we would make such a thin...,different,2026-05-09T19:16:31+00:00,"Candidate about prioritizing goblins, new item about model 5.5.",[],False,socialmedia-sam-altman-sama
True,final_300,v0 is heading to SXSW to build agents. Join us live to make your own and walk away production-ready...,0.2,5.5 is an autistic genius with very strange taste in naming shocking that we would make such a thin...,different,2026-05-09T19:16:31+00:00,"Candidate about v0 at SXSW, new item about model 5.5.",[],False,socialmedia-sam-altman-sama
,smoke_c3,Read more: https://t.co/3YEhHmqg3g,0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about AI voice/video latency; candidate is a generic link to a robot news article with no shared entities or event.,[],False,socialmedia-runway-runwayml
,smoke_c3,Today's the deadline to apply for YC Summer 2026. https://t.co/gNl84El3BS,0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about AI latency; candidate is about YC application deadline.,[],False,socialmedia-runway-runwayml
,smoke_c3,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about AI latency; candidate is an unrelated comment about goblins.,[],False,socialmedia-runway-runwayml
,smoke_c3,pretty excited for voice models to get great its interesting to watch how people are already starti...,0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,"Both mention voice models but candidate is a general excitement post without specific metrics; new item gives specific latency/performance details. However, too generic to be related.",[],False,socialmedia-runway-runwayml
,smoke_c3,I don't think they'll be taking Q&A so I'll ask here: @jarredsumner do you end up actually readi...,0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about AI latency; candidate is a question about reviewing PR bot chatter.,[],False,socialmedia-runway-runwayml
,smoke_c3,I don't think they'll be taking Q&A so I'll ask here: @jarredsumner do you end up actually readi...,0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"The new item is about Codex tasks and optimism for AI coding tools, while the candidate is a question about Jarred reading review bot chatter. No overlap in event or specific entities.",[],False,socialmedia-sam-altman-sama
,smoke_c3,"Recraft V4 helps you create expressive, story-driven scenes full of awkward timing, emotional chaos,...",0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"The new item is about Codex tasks, the candidate is about Recraft V4 illustration style. Different topics.",[],False,socialmedia-sam-altman-sama
,smoke_c3,what would you most like to see improve in our next model?,0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"The new item is about Codex tasks, the candidate is a general question about model improvement. Different topics.",[],False,socialmedia-sam-altman-sama
,smoke_c3,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"The new item is about Codex tasks, the candidate is about prioritizing things (more goblins etc.). Different topics.",[],False,socialmedia-sam-altman-sama
,smoke_c3,Today's the deadline to apply for YC Summer 2026. https://t.co/gNl84El3BS,0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"The new item is about Codex tasks, the candidate is a YC application deadline reminder. Different topics.",[],False,socialmedia-sam-altman-sama
True,smoke_c3,Read more: https://t.co/3YEhHmqg3g,0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about AI voice/video latency; candidate is a generic link to a robot news article with no shared entities or event.,[],False,socialmedia-runway-runwayml
True,smoke_c3,Today's the deadline to apply for YC Summer 2026. https://t.co/gNl84El3BS,0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about AI latency; candidate is about YC application deadline.,[],False,socialmedia-runway-runwayml
True,smoke_c3,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about AI latency; candidate is an unrelated comment about goblins.,[],False,socialmedia-runway-runwayml
True,smoke_c3,pretty excited for voice models to get great its interesting to watch how people are already starti...,0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,"Both mention voice models but candidate is a general excitement post without specific metrics; new item gives specific latency/performance details. However, too generic to be related.",[],False,socialmedia-runway-runwayml
True,smoke_c3,I don't think they'll be taking Q&A so I'll ask here: @jarredsumner do you end up actually readi...,0.0,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,New item about AI latency; candidate is a question about reviewing PR bot chatter.,[],False,socialmedia-runway-runwayml
True,smoke_c3,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",0.55,what would you most like to see improve in our next model?,different,2026-05-09T16:34:08+00:00,"The new item is a general question about model improvement, while the candidate discusses goblins and prioritization, which is unrelated.",[],False,socialmedia-sam-altman-sama
True,smoke_c3,I don't think they'll be taking Q&A so I'll ask here: @jarredsumner do you end up actually readi...,0.55,what would you most like to see improve in our next model?,different,2026-05-09T16:34:08+00:00,"The new item is about model improvement feedback, while the candidate asks about reading chatter between review bots.",[],False,socialmedia-sam-altman-sama
True,smoke_c3,"Recraft V4 helps you create expressive, story-driven scenes full of awkward timing, emotional chaos,...",0.55,what would you most like to see improve in our next model?,different,2026-05-09T16:34:08+00:00,"The new item asks for model improvement suggestions, while the candidate is about Recraft V4 illustration style.",[],False,socialmedia-sam-altman-sama
True,smoke_c3,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",0.55,what would you most like to see improve in our next model?,different,2026-05-09T16:34:08+00:00,"The new item is about model improvement, while the candidate is about Codex tasks and personal experience.",[],False,socialmedia-sam-altman-sama
True,smoke_c3,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,0.55,what would you most like to see improve in our next model?,different,2026-05-09T16:34:08+00:00,"The new item is a question about model improvements, while the candidate discusses Character response time and video model performance.",[],False,socialmedia-sam-altman-sama
,smoke_c3_iter2,I don't think they'll be taking Q&A so I'll ask here: @jarredsumner do you end up actually readi...,0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"Candidate is about reading review bots chatter, while new item is about Codex tasks and personal experience. No shared entities or events.",[],False,socialmedia-sam-altman-sama
,smoke_c3_iter2,"Recraft V4 helps you create expressive, story-driven scenes full of awkward timing, emotional chaos,...",0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"Candidate is about Recraft V4 illustration style, while new item is about Codex tasks. No shared entities or events.",[],False,socialmedia-sam-altman-sama
,smoke_c3_iter2,what would you most like to see improve in our next model?,0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"Candidate is a question about model improvements, while new item is about Codex tasks. No shared entities or events.",[],False,socialmedia-sam-altman-sama
,smoke_c3_iter2,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"Candidate is about prioritizing features, while new item is about Codex tasks. No shared entities or events.",[],False,socialmedia-sam-altman-sama
,smoke_c3_iter2,Today's the deadline to apply for YC Summer 2026. https://t.co/gNl84El3BS,0.95,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",different,2026-05-09T19:12:17+00:00,"Candidate is about YC application deadline, while new item is about Codex tasks. No shared entities or events.",[],False,socialmedia-sam-altman-sama
,smoke_c3_iter2,Read more: https://t.co/3YEhHmqg3g,0.95,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,The new item discusses voice/video model latency; the candidate is a generic promotional link with no relevant content.,[],False,socialmedia-runway-runwayml
,smoke_c3_iter2,Today's the deadline to apply for YC Summer 2026. https://t.co/gNl84El3BS,0.95,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,The new item is about AI latency; the candidate is about YC application deadline.,[],False,socialmedia-runway-runwayml
,smoke_c3_iter2,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",0.95,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,The new item is about AI latency; the candidate is a casual comment about goblins and priorities.,[],False,socialmedia-runway-runwayml
,smoke_c3_iter2,pretty excited for voice models to get great its interesting to watch how people are already starti...,0.85,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,"Both mention voice models but the new item is a specific latency report, while the candidate is a general excitement about voice models.",[],False,socialmedia-runway-runwayml
,smoke_c3_iter2,I don't think they'll be taking Q&A so I'll ask here: @jarredsumner do you end up actually readi...,0.95,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,different,2026-05-04T17:30:29+00:00,The new item is about AI latency; the candidate is a question about reading PR chatter.,[],False,socialmedia-runway-runwayml
True,smoke_c3_iter2,what would you most like to see improve in our next model?,0.2,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",different,2026-05-09T16:47:43+00:00,"The new item is a comment about priorities, while the candidate is a question about model improvements; no shared event or topic.",[],False,socialmedia-sam-altman-sama
True,smoke_c3_iter2,I don't think they'll be taking Q&A so I'll ask here: @jarredsumner do you end up actually readi...,0.2,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",different,2026-05-09T16:47:43+00:00,"The new item is about priorities, while the candidate is a question about reading review bot chatter; no shared event or topic.",[],False,socialmedia-sam-altman-sama
True,smoke_c3_iter2,From when the user stops speaking to when the Character starts replying is just 1.75 seconds. Under ...,0.2,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",different,2026-05-09T16:47:43+00:00,"The new item is about priorities, while the candidate is about response time of a character; no shared event or topic.",[],False,socialmedia-sam-altman-sama
True,smoke_c3_iter2,"kicking off a bunch of codex tasks, running around with my kid in the sunshine, and then coming back...",0.2,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",different,2026-05-09T16:47:43+00:00,"The new item is about priorities, while the candidate is about coding tasks; no shared event or topic.",[],False,socialmedia-sam-altman-sama
True,smoke_c3_iter2,Read more: https://t.co/yZgH0hEATU,0.2,"ok other than more goblins, i think this reasonably well matches what we are prioritizing!",different,2026-05-09T16:47:43+00:00,"The new item is about priorities, while the candidate is a link to an article; no shared event or topic.",[],False,socialmedia-sam-altman-sama
True,smoke_c3_iter2,AI data centers are heading out to sea. Panthalassa just raised $140 M led by Peter Thiel for wave-...,0.55,"Join the Runway team in Denver on June 4th at our annual CVPR Friends Dinner for conversation, cockt...",different,2026-05-05T14:22:34+00:00,No clear relation; unrelated topics: AI data centers vs. Runway dinner event.,[],False,socialmedia-runway-runwayml
